Item,Amount,Calories,Carbs,Protein,Fat,Protein General
,,,,,,
אורז לבן מבושל,100,123,27,,,2.8
בורגול מבושל 150,150,124.5,27.75,,,4.5
תפוח אדמה אפוי,100,93,21.15,,,2.5
גריסים מבושל,100,123,28,,,2
חיטה מבושל,100,146,30,,,6.4
וואסה - אול גריין,100,334,60,,2,9
בייגלה - שמניות עם מלח,25,95.5,18.5,,1,2.8
פיתה ביס,50,116,25,,,3
בטטה,100,76,18,,,1
פריכיות אורז - חום מלא,32,123,25.5,,,2.7
שיבולת שועל 50,50,185,28,,4.25,6
קורנפלקס,100,375,83.3,,0.9,7
פסטה מלאה 45 מבושל,100,143,27,,1,5
פסטה איטלקית - מבושל,100,170,34,,,7
דבש כפית,9,27,7.5,,,
קורן טינגז,100,382,71,,3.5,10
סלים דליס - תירס,100,383,82,,2,7.7
פתיתים אסם - קוסקוס,100,154,29.5,,1.8,4.4
פריכית חומוס אורז מיה,100,392,73,,3.7,14.5
מי קוקוס,240,45,11,,,
רוטב ארביאטרב יד מרדכי,50,20,3.5,,,
תירס קופסא,100,58,8.5,,1,2
אפונה קופסא,100,73,7,,,6
משקה POWER BAR,33,120,29,,,
תמר,17,47,13,,,
v,32,100,22,,,
פאוור בר - אנרגייז,55,200,39,6,2,
עוף,100,177,,27,6.7,
סלומון,100,153,,24,5,
סינטה 100 מבושל,100,212,,29,9,
בשר כתף - שופרסל,100,177,,26,7,
הודו 100 מבושל,100,135,,30,,
חלבון MP,32,120,3,25,1,
חלבון JYM,43,170,8,24,4,
חלבון פייז 8,42,150,8,26,1.5,
חלבון סניקרס,35,140,5,21,4,
חלבון אלמקס,32,130,4,24,1.5,
ביצה,65,97,,8.5,6.5,
ביצה - חלבון,33,17,,3.5,,
קוטג 5,100,95,1.5,11,5,
קוטג 3,100,77,1.5,11,3,
גו יוגורט -פירות יער,200,109,7,20,,
גו משקה,100,50,3.3,8,0.5,
כבד עוף מבושל,100,167,,25,6.5,
טונה במים,112,116.5,,27.5,,
טונה בשמן,112,195,,27.5,11.5,
סטייק,200,530,,53,33.5,
לבנה 5%,100,93,4,8,5,
צפתית 5%,100,135,4,18.5,5,
בולגרית 5,100,115,5,14,5,
חמד 5,100,149,3,23,5,
עמק 9,100,201,,30,9,
חלב 3%,100,61,4.8,3.2,3,
חלב,100,67,5,3.3,3.8,
חלב וניל עוגיות,100,42,4.5,2.7,1.5,
חלב וניל בננה,100,46,4.8,3.4,1.5,
חטיף גו - חמאת בוטנים,60,225,13.8,20,8.4,
חטיף - מיפרוטין,64,236,20,20,9,
חטיף - טרסט - אוכמניות,60,216,23,18,8.4,
חטיף - טרסט - פדג,60,213,16,20,8.4,
חטיף - טרסט - שוקולד,60,210,17,20,7.8,
חטיף - BSN,60,204,22,20,6.9,
MetRX - Peanut Pretzel,100,410,47,30,12,
MetRX - Apple,100,390,48,30,9,
חטיף פרו - עוגיות,60,244,20,17,12.6,
פנקייק - חלבון,55,210,25,20,4,
באר פיור,50,190,16,20,6,
באר ווריר,75,257,38.7,20,2.3,
גו משקה - מנגו,100,51,3.6,8,0.5,
בשר טחון 15% מבושל,100,260,,25,17,
כבד עוף מבושל,100,167,,25,6.5,
אבוקדו,100,160,8.5,2,14.5,
שוקולד ציפס פיצפוצים,100,512,60,,16.6,4
שוקולד מריר גודיאבה - קוביה,8.5,56.5,1.2,,5,0.75
שוקולד מריר צוקטרה - קוביה,100,537,31,,38.5,9
חמאת בוטנים כפית ,8,48,,,4,2.3
חמאת בוטנים סקיפי דבש,15,94,2.2,,7.7,3.5
טחינה,5,34,,,3,1.3
אגוזים,10,70,,,6.5,
זיתים,20,32,,,3,
מיונז מופחת - הלמנס,15,57,1,,6,
שמן זית,5,45,,,5,
קורניש במלח,100,12,4.5,,,
חמוצים במלח,100,27,5,,,
חמוצים יפנים,100,56,13,,,
בצל,62.5,25,6,,,
שום,100,150,33,,,6
גזר,70,28,6.5,,,
עגבניה,114,20.5,4.5,,,
מלפפון,100,14.5,3.5,,,
פלפל שושקה,80,24,4.5,,,
פלפל,185,57.3,11.2,,,
כרוב לבן,100,25,5.8,,,
פטריות,100,22,3.5,,,3
חציל,100,24,6,,,
חסה,100,17,3,,,
צנונית,100,16,3.5,,,
תפוז,100,47,12,,,
תפוח בינוני,185,96,25.5,,,
פומלית,100,38,9.6,,,
קלמנטינה,100,47,12,,,
אפרסמון,100,70,19,,,
נקטרינה,100,44,11,,,
ליצי,100,66,16,,,
"""""""""""""""""""""""""""",,,,,,
שוקוביס,95,354,26,4,25,
חלב 3%,100,60,5,3,3,
עמק 15,100,255,,30,15,
גלבוע 5,100,177,,30,5,
יוגורט עיזים,100,70,6,3.2,3.5,
תנובה גו - עוגיות,100,80,7.5,8,2,
דנונה פרו - כרמל,200,138,14,20,,
חלב שקדים,100,13,,,1,
גבינה צהובה עמק,100,344,,23,28,
שמן קנולה,10,88.5,,,10,
בירה,100,43,3.55,,,
גין אלכוהול,40,100,,,,
קלח תירס,200,200,46.5,,,
פתי בר - יחידה,7.5,35,5.5,,1,
פתיתים תרד מבושל,100,156,29,,2,12
